name	bytes	sha256	byte_identical_to_prefreeze_parent
INDEPENDENT_BOOTSTRAP_ABI.md	11025	b46b2703121d2e50460025bc0c5ff53ca28fffb94a1a2b23e58a52ce41bd2160	true
README.md	16213	253b89f19c041118fb4148d8cbf76ebc71301b701e20f8cfefa421d77df68d0c	false_lifecycle_prose_only
SOURCE_MANIFEST.json	3518	a54593c13a864a28d2797faf360321cf3cce5b834292aff013ca8eff175c68b6	new_manifest
container_codec.py	93379	645debb547a76818a880bfc346a2dd6230af97b07dc832afb3548a83d6920fed	true
cupy_backend.py	40964	7904a5e122686487d89fb684b70052507089bfe3bbfe4f1f02520df6ce3fb1ba	true
design_lock.json	11554	da0514b2e1fa0f033b113912bbe05e7ae640c3a606fa5386ee202d45dcc71805	false_status_only
dispatcher_contract.py	9205	747db5747b75074c1191e17055d615df3cddc54da00e29ba03edfd99ddb2a243	true
fixture_long_memory.py	4307	d72e7c109920f7d2c6a64bcbf9de0c6463ae80b40cbdb3e772af44c30b3a8c38	true
fixture_portability.py	16350	b8e9c8d0741f5c7de44ad9ae2bedf8ea6b0fba3ec6fa58df80d8d08fb5a8a1db	true
protocol.py	21051	9e18675a1e646eb10c0900aa3767bff96666943309dbd8db3953c745888d2cc1	true
result_envelope.py	19002	ad568758b318a9a6f298da2dc17edcd7f7639e2f772511ae680798f301bc4601	true
run_source_free_gpu_dev.py	8263	888c5420353951d164a76015e6563154df119f1481da29621154a01347791838	true
stage0_census.py	123776	7b7c2e0fcb6593805e6b2c8234ae59cb42d90fbb7dcf945a35aa5dfe331ae618	true
strata_sc_adapter.py	36184	08fc8808ac168f6930ee9482e160f25f2bd087829fca4630553aea3510d722c6	true
test_source_only.py	135687	5dc3730b629dc3c05a1353d036c6a9049013b6c163540c31f2cb8275d5a68383	true
universal_adapter.py	11577	a5ab2e1919af98c2aa9b3032faa0ba5552efe05cca250bd6844fd48c76aabbc8	true
uwfa_common.py	58875	db53567ab6d71d5150cc92ef4a78fa9ce5cca01f5474fa2ca32edc8711cc4325	true
verify_source.py	15907	c9ccbcd0b68681400dab97636bad7e4d445a83f2446d032b53863a8ab77b7714	true
